family,level,frac,method,n_seeds,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,hrp_mean,hrp_std,cvr_c1,cvr_c2,cvr_c3,cvr_c4,psnr_db_mean_seedstd,psnr_db_std_seedstd,ssim_mean_seedstd,ssim_std_seedstd,hrp_mean_seedstd,hrp_std_seedstd,cvr_c1_seedstd,cvr_c2_seedstd,cvr_c3_seedstd,cvr_c4_seedstd
CF1,L1,0.05,csfr,3,40.262826373607254,7.850615747920114,0.9920583347160449,0.0061947608815032485,0.69165791730086,0.16503385503408974,0.0,0.03811879966007028,0.0,0.06891357421875,0.03564003125816879,0.0253877765579483,0.00011149368568419277,0.0001445815402414664,0.0008930819254095078,0.0021248394428043157,0.0,2.9556323389013894e-05,0.0,0.00010331761517496614
CF1,L1,0.05,zero_fill,3,18.66382826873763,4.251066615165015,0.5143077133088115,0.21347009029808797,3.639205357697275,2.779238895453171,0.0,0.10916708000030162,0.0,0.30121256510416666,0.00486069078109038,0.01056682824166825,0.000889328727010159,0.00038788673404386724,0.0011064145127123138,0.002501671988374463,0.0,9.400883372221404e-05,0.0,0.00030333392388887944
CF1,L1,0.05,bilinear,3,38.222785031387566,7.295949473387968,0.9902877529776782,0.007089673446115978,0.7079681692520777,0.14967383803932152,0.0,0.03848531201601468,0.0,0.07050157335069444,0.044067987306190756,0.12662771903121697,8.752398133494952e-05,0.0001262999137956159,0.00119342890573981,0.002714180411421526,0.0,1.4905165311909963e-05,0.0,0.00010936549984748443
CF1,L1,0.05,inpaint_telea,3,37.6691098312377,6.304834170804962,0.9886203573982176,0.005353054854631234,0.6486547477046649,0.16556520430983088,0.0,0.03831693667608003,0.0,0.06946044921875,0.04318360737211373,0.058838173673111796,0.00015203397747776226,6.216629019628603e-05,0.00042904725154003587,0.0026634401509525985,0.0,2.7651473267350765e-05,0.0,4.4220740207735065e-05
CF1,L1,0.05,inpaint_ns,3,39.22164813631259,7.020046484252075,0.9905101047089206,0.006520537508523592,0.6658604581654072,0.16222655092632685,0.0,0.037988729064624444,0.0,0.0689968532986111,0.04761442179045239,0.058121132917410674,0.0001779546781027013,0.00022475954976539387,0.0007942053816352153,0.002060795131346128,0.0,1.948895387898892e-05,0.0,2.8813140057020272e-05
CF1,L1,0.05,dictlearn,3,28.897454529554533,4.450067510940758,0.8419626533543648,0.1310311161590635,0.004916148384412129,0.05919530232047687,0.0,0.05088941255382249,0.0,0.08919759114583332,0.007693216063295636,0.01917862740256465,0.0011266678161729927,0.0013752590976151863,0.0022837862381889797,0.01526425701797203,0.0,0.00011518884260705184,0.0,0.00016119582189055932
CF1,L2,0.15,csfr,3,34.853877267297825,7.622004664261504,0.9742448847706169,0.018533949673585622,0.6893429496718778,0.16193424878122978,0.0,0.03656084664400421,0.0,0.06418836805555556,0.03539752023494906,0.049988273130323266,0.0001930251464006224,0.0004113740839162991,0.001227955952931905,0.0005472449312578086,0.0,1.5258920313005937e-05,0.0,0.00010790236845449175
CF1,L2,0.15,zero_fill,3,13.904348478038399,4.233145423600571,0.3290043206979831,0.20778184688947063,3.641160467217366,2.7790727026929267,0.0,0.22652033686016995,0.0,0.44347547743055554,0.009112524091481961,0.011921436473047296,0.00027200572655326923,0.0002187248035403969,0.0007187989202032202,0.003914059487877356,0.0,8.832215640178108e-05,0.0,0.0002507658049373767
CF1,L2,0.15,bilinear,3,32.94493859991723,6.762829881187623,0.970339197168725,0.021056380255186042,0.7079149869084359,0.1458848823338007,0.0,0.03748332795675702,0.0,0.06898139105902779,0.057445083926151906,0.12032258715249532,0.00029223714927600555,0.0004835094087683113,0.0015996346439808426,0.00017520483926572453,0.0,3.674387655136381e-05,0.0,9.566088777859985e-05
CF1,L2,0.15,inpaint_telea,3,32.02867640187661,6.130087331087381,0.9603510597573116,0.01543595882022343,0.6385184686217044,0.16386936026037038,0.0,0.037199900781690505,0.0,0.06722900390625001,0.026056353147620694,0.030652769056953015,0.0003339087450503976,0.0004185673339140826,0.0009670597398155103,0.0004120777806830287,0.0,6.750293712377843e-07,0.0,0.00014507757876359913
