family,level,seed,method,metric,n,mean,sd,ci_lo,ci_hi
CF1,L1,0,zero_fill,psnr,300,20.74784864634781,3.5376663677165925,20.347881005931868,21.153577105528672
CF1,L1,0,zero_fill,psnr_masked,300,7.741787768332861,3.537666378614829,7.34171521451747,8.147175605491036
CF1,L1,0,zero_fill,ssim,300,0.5379777688856143,0.22245102485066126,0.5123926032990959,0.5625519331686227
CF1,L1,0,zero_fill,hrp,300,3.2597300921877226,2.7129019171538817,2.9661014349659287,3.5738103900278606
CF1,L1,0,bilinear,psnr,300,42.93664560739436,8.536461085327506,41.992307846154446,43.92245761501392
CF1,L1,0,bilinear,psnr_masked,300,29.93058474753913,8.536461072727734,28.98575559392167,30.900894512565507
CF1,L1,0,bilinear,ssim,300,0.9924402072106909,0.003772965777275929,0.9920095786780587,0.9928615479618286
CF1,L1,0,bilinear,hrp,300,0.7542991690337658,0.11770570843117695,0.7405332737242182,0.7675703732197483
CF1,L1,0,inpaint_telea,psnr,300,41.41175018120265,7.02563244160752,40.63061825061285,42.21116655740924
CF1,L1,0,inpaint_telea,psnr_masked,300,28.405689319610016,7.025632458522709,27.64117102415018,29.217438491009673
CF1,L1,0,inpaint_telea,ssim,300,0.9891086223981154,0.0032128891188066225,0.9887433062255755,0.9894676025089111
CF1,L1,0,inpaint_telea,hrp,300,0.7093793718516826,0.13720185371736288,0.6937583693514268,0.724759280713896
CF1,L1,0,inpaint_ns,psnr,300,43.53762335114316,8.358148547454626,42.60252289082394,44.499138951339724
CF1,L1,0,inpaint_ns,psnr_masked,300,30.531562483963977,8.358148561137382,29.614531278019047,31.48042969109092
CF1,L1,0,inpaint_ns,ssim,300,0.9926620440760697,0.0030886293294179615,0.9923112341923425,0.9930083425859817
CF1,L1,0,inpaint_ns,hrp,300,0.7256328419347604,0.13383714391609675,0.7106858322458963,0.7405250747998555
CF1,L1,0,dictlearn,psnr,300,30.009373752255815,5.209908999230845,29.41467866523539,30.600542593883862
CF1,L1,0,dictlearn,psnr_masked,300,17.00331281639937,5.209909024530435,16.401394125799946,17.58719718415687
CF1,L1,0,dictlearn,ssim,300,0.8341811985565903,0.13255686322838792,0.8189369778388133,0.848665902890301
CF1,L1,0,dictlearn,hrp,300,0.0021978153785069785,0.03806727901230309,0.0,0.006593446135520935
CF1,L1,0,csfr,psnr,300,44.70263315918774,9.078282609997464,43.709322457010124,45.72230153175365
CF1,L1,0,csfr,psnr_masked,300,31.696572281690486,9.078282607463086,30.675631127161672,32.72239503492231
CF1,L1,0,csfr,ssim,300,0.9935683490005199,0.0032471039738043443,0.9931999740442081,0.9939262937131976
CF1,L1,0,csfr,hrp,300,0.7511897932986419,0.12669945808983177,0.7369429400227964,0.765406389636298
CF1,L1,1,zero_fill,psnr,300,20.689158182011568,3.410487712614014,20.312954828631852,21.07977729645067
CF1,L1,1,zero_fill,psnr_masked,300,7.6830973249452805,3.4104877185912383,7.299967160571882,8.069167847481824
CF1,L1,1,zero_fill,ssim,300,0.5369762460926082,0.22314091656030158,0.5112137163631143,0.5614767788600791
CF1,L1,1,zero_fill,hrp,300,3.2604063533743224,2.7264624515985236,2.9609740817993884,3.586673062150677
CF1,L1,1,bilinear,psnr,300,42.76302427659743,8.589366920970829,41.80282437541914,43.70699887896598
CF1,L1,1,bilinear,psnr_masked,300,29.756963389168693,8.589366928963827,28.771200413311984,30.75565671171465
CF1,L1,1,bilinear,ssim,300,0.9923240229134276,0.0037335316316386806,0.9918986966392709,0.9927361641060336
