cell,budget,n,psnr_db,ssim,best_baseline,best_baseline_psnr_db,gap_to_best_baseline,solve_s
CF1_L5,600,100,28.148496953494043,0.7669668521515994,inpaint_ns,28.05434020662021,0.09415674687383202,5.913313627243042
CF1_L5,1200,100,28.150257210486746,0.7672362192614162,inpaint_ns,28.05434020662021,0.09591700386653557,6.708104133605957
CF1_L5,2400,100,28.15234490987786,0.7672786140101023,inpaint_ns,28.05434020662021,0.09800470325765076,13.698977947235107
CF1_L5,4800,100,28.151525283620373,0.7672881507877899,inpaint_ns,28.05434020662021,0.09718507700016232,43.061097860336304
CF2_L3,600,100,25.7752307230824,0.7453325079189966,bilinear,26.53868033028121,-0.7634496071988082,6.511957168579102
CF2_L3,1200,100,27.805016881440178,0.7656339358362555,bilinear,26.53868033028121,1.2663365511589681,12.233204364776611
CF2_L3,2400,100,28.00254115895758,0.7668592820398727,bilinear,26.53868033028121,1.4638608286763706,22.5604305267334
CF2_L3,4800,100,28.000315795628357,0.7669577590400196,bilinear,26.53868033028121,1.4616354653471468,48.64791297912598
CF2_L5,600,100,16.57113821117804,0.3790816386078653,bilinear,21.12869968909697,-4.557561477918927,5.466007232666016
CF2_L5,1200,100,20.437525976317474,0.4350168713458955,bilinear,21.12869968909697,-0.691173712779495,10.958788871765137
CF2_L5,2400,100,22.322020140678884,0.46155419383937757,bilinear,21.12869968909697,1.193320451581915,23.477149724960327
CF2_L5,4800,100,22.452208460633372,0.46338241041868494,bilinear,21.12869968909697,1.3235087715364031,43.73235559463501
CF3_L5,600,100,11.211402691068955,0.33605837512864106,inpaint_ns,18.050625014186366,-6.839222323117411,5.489791393280029
CF3_L5,1200,100,12.360649500091021,0.3814389136677426,inpaint_ns,18.050625014186366,-5.6899755140953445,12.924659967422485
CF3_L5,2400,100,14.558096596510682,0.42784810461626527,inpaint_ns,18.050625014186366,-3.4925284176756843,23.378328561782837
CF3_L5,4800,100,17.43694236047037,0.45949393122410437,inpaint_ns,18.050625014186366,-0.6136826537159976,46.46943807601929
CF4_L5,600,100,11.027741635265562,0.32785079062505096,inpaint_telea,18.229165569179564,-7.201423933914002,5.4983015060424805
CF4_L5,1200,100,12.13901610025031,0.3705127338311838,inpaint_telea,18.229165569179564,-6.090149468929255,10.936964988708496
CF4_L5,2400,100,14.391909503311132,0.4182058103695611,inpaint_telea,18.229165569179564,-3.8372560658684325,22.240108251571655
CF4_L5,4800,100,17.61967509549425,0.456601276475645,inpaint_telea,18.229165569179564,-0.6094904736853124,45.800429344177246
