family,level,method,accuracy,recovery,ece,conf_err_joint,conf_err_cond,n_confident,signal_n,signal_accuracy,signal_conf_err_joint,signal_conf_err_cond,signal_n_confident,bu_rate,non_abstained_acc,imf_mean,imf_sd,imf_q25,imf_median,imf_q75
CF4,L3,dictlearn,0.776,0.6815068493150687,0.0270182342529297,0.015,0.03289473684210526,456,0,,,,0,,,,,,,
CF4,L3,csfr,0.75,0.5924657534246576,0.03563206294178963,0.017,0.043478260869565216,391,0,,,,0,1.0,,0.8999998569488525,1.1920928955078125e-07,0.8999999761581421,0.8999999761581421,0.8999999761581421
CF4,L3,lama,0.785,0.7123287671232879,0.035202106729149835,0.021,0.04365904365904366,481,0,,,,0,,,,,,,
CF4,L4,zero_fill,0.335,0.0,0.2245867844372988,0.016,0.25396825396825395,63,1000,0.335,0.016,0.25396825396825395,63,,,,,,,
CF4,L4,bilinear,0.335,0.0,0.2245867844372988,0.016,0.25396825396825395,63,1000,0.335,0.016,0.25396825396825395,63,,,,,,,
CF4,L4,telea,0.427,0.1722846441947565,0.2947841211408377,0.094,0.3230240549828179,291,1000,0.427,0.094,0.3230240549828179,291,,,,,,,
CF4,L4,ns,0.414,0.14794007490636696,0.3207433056086302,0.12,0.3821656050955414,314,1000,0.414,0.12,0.3821656050955414,314,,,,,,,
CF4,L4,dictlearn,0.483,0.27715355805243436,0.08580827668309213,0.014,0.15217391304347827,92,1000,0.483,0.014,0.15217391304347827,92,,,,,,,
CF4,L4,csfr,0.458,0.23033707865168537,0.14061542814970013,0.016,0.1797752808988764,89,1000,0.458,0.016,0.1797752808988764,89,1.0,,0.9375,0.0,0.9375,0.9375,0.9375
CF4,L4,lama,0.564,0.42883895131086125,0.15226629102230074,0.054,0.19217081850533807,281,1000,0.564,0.054,0.19217081850533807,281,,,,,,,
CF4,L5,zero_fill,0.111,0.0,0.4062979185134173,0.012,0.8,15,1000,0.111,0.012,0.8,15,,,,,,,
CF4,L5,bilinear,0.111,0.0,0.4062979185134173,0.012,0.8,15,1000,0.111,0.012,0.8,15,,,,,,,
CF4,L5,telea,0.234,0.16226912928759896,0.44939873591065405,0.134,0.600896860986547,223,1000,0.234,0.134,0.600896860986547,223,,,,,,,
CF4,L5,ns,0.234,0.16226912928759896,0.4841612090170383,0.185,0.6607142857142857,280,1000,0.234,0.185,0.6607142857142857,280,,,,,,,
CF4,L5,dictlearn,0.173,0.0817941952506596,0.48521797081828116,0.123,0.7409638554216867,166,1000,0.173,0.123,0.7409638554216867,166,,,,,,,
CF4,L5,csfr,0.197,0.11345646437994723,0.30147319212555884,0.007,0.4666666666666667,15,1000,0.197,0.007,0.4666666666666667,15,1.0,,0.954545259475708,1.7881393432617188e-07,0.9545454382896423,0.9545454382896423,0.9545454382896423
CF4,L5,lama,0.303,0.2532981530343008,0.25654559682309624,0.047,0.44761904761904764,105,1000,0.303,0.047,0.44761904761904764,105,,,,,,,
