family,level,frac,method,n_seeds,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,hrp_mean,hrp_std,cvr_c1,cvr_c2,cvr_c3,cvr_c4,psnr_db_mean_seedstd,psnr_db_std_seedstd,ssim_mean_seedstd,ssim_std_seedstd,hrp_mean_seedstd,hrp_std_seedstd,cvr_c1_seedstd,cvr_c2_seedstd,cvr_c3_seedstd,cvr_c4_seedstd
CF1,L1,0.05,csfr,3,44.68234567116739,9.051416707778566,0.9935848333704111,0.0031727591094746614,0.7500018906758891,0.12661225677227372,0.0,0.020886794593017028,0.0,0.02904378255208333,0.015418950640815651,0.06680987192569786,2.0411439554492523e-05,7.439964894806925e-05,0.0017942474475086318,0.0006316221408652483,0.0,1.1693145197398519e-05,0.0,1.6953667526042568e-05
CF1,L1,0.05,csfr_c1,3,45.27794024290997,9.402283906350034,0.9908319930198828,0.007007142273929528,0.7564737424254417,0.11208157835376596,0.0,0.020973875689200616,0.0004730902777777778,0.03026828342013889,0.014070938540537146,0.006905186868074309,5.451771558493998e-05,0.00016000855546866917,0.002331020057384654,0.0017819667063787284,0.0,1.5165300166362799e-05,8.30804732590797e-06,4.6008415918389983e-05
CF1,L1,0.05,csfr_c1c2,3,45.81752308810007,8.917003933209168,0.9946131260917506,0.0027551307664267512,0.753602309955491,0.12338568460539655,0.0,0.02099688611942434,0.00021620008680555552,0.029685058593749997,0.04686915117958298,0.0029382665192846003,6.111742141573039e-06,4.726300769645661e-05,0.0017979128768675578,0.0009780727230300364,0.0,1.7230447104712655e-05,1.2058436833166703e-05,3.240935506468079e-05
CF1,L1,0.05,csfr_c1c3,3,45.3090606651056,9.434427259297403,0.990930856799709,0.0069126246269647735,0.7559841713805993,0.111886794821987,0.0,0.02097263559385384,0.0,0.030259874131944448,0.019298159102501322,0.027239650069825344,4.594673433260622e-05,0.0001518315155790362,0.0023354255977855298,0.0017524810753013445,0.0,1.2944606299267893e-05,0.0,5.284215781716388e-05
CF1,L1,0.05,csfr_c1c4,3,43.481141524389756,9.27455337012042,0.9906934334493633,0.004423702618041162,0.7539625536402066,0.12245038286567674,0.0,0.020784281329154813,0.0005305989583333333,0.028695746527777777,0.029335927560894738,0.03768083590886477,4.068082402817304e-05,8.322104804750762e-05,0.002084409964069777,0.0005368472062282818,0.0,1.1481816143291337e-05,1.0938501059926185e-05,1.1892529414488239e-05
CF1,L1,0.05,zero_fill,3,20.7219573188588,3.4754615091260477,0.5376607536886399,0.22227791855044965,3.2581122190753615,2.7097787895343513,0.0,0.08481095704353518,0.0,0.20039876302083334,0.02445309828492208,0.052818914359820605,0.00048445844249104636,0.00034919295986454154,0.00219113872590562,0.008994082564609812,0.0,0.00011716945798639228,0.0,0.00039595130367114445
CF1,L1,0.05,bilinear,3,42.87957755779714,8.552410431983548,0.992395979891968,0.003711646598246758,0.7543280428482427,0.11923888027184874,0.0,0.021060130085534184,0.0,0.029833713107638892,0.08242152991192306,0.022215406715215692,5.1325096251486755e-05,5.250095631765825e-05,0.0021586051538308873,0.0012440834684948451,0.0,3.5981008577518416e-05,0.0,3.971450517292792e-05
CF1,L1,0.05,inpaint_telea,3,41.385691930582944,6.984347020049843,0.9891267449397155,0.003125041211631462,0.7088825515740448,0.1369888604330158,0.0,0.020671571937709812,0.0,0.02933376736111111,0.04747299389359393,0.02478956223135687,1.3725139222874308e-05,7.681261793396192e-05,0.0015191495695874207,0.0003239617501219006,0.0,9.548089922703243e-06,0.0,1.7293161296125336e-05
CF1,L1,0.05,inpaint_ns,3,43.48927523968084,8.334515533412121,0.9926450059890097,0.0030222961492062557,0.7245144642227226,0.13375843325963596,0.0,0.020596064884108877,0.0,0.02920708550347222,0.03701092528490503,0.016490960862121488,1.799077921785182e-05,6.0010315226580546e-05,0.001604983799083031,0.0003201972520455844,0.0,1.2926996248987648e-05,0.0,3.0087451550005095e-05
CF1,L1,0.05,dictlearn,3,30.053868907049985,5.249114078543508,0.835113081738771,0.13235954174970865,0.004813703563478259,0.05703333827072545,0.0,0.034933035722723514,0.0,0.05141682942708333,0.036898395735426935,0.05527695071158543,0.0008325311868925142,0.0003542272893173486,0.0021030685348380424,0.014521556896357654,0.0,6.875787328315196e-05,0.0,9.161932136795069e-05
