method,label,batch,repeats,patch_hw,mean_s,sd_s,median_s,min_s,max_s,ms_per_patch,peak_alloc_mb,rss_delta_mb
zero_fill,Zero-fill,32,5,64x64,0.001113320025615394,0.00029470872644063754,0.0009533000411465764,0.0009249000577256083,0.001613300060853362,0.034791250800481066,1.6258125305175781,0.359375
bilinear,Linear interpolation,32,5,64x64,2.7083450599806382,0.28984994472404996,2.5957349999807775,2.4089427000144497,3.0371481999754906,84.63578312439495,2.3919296264648438,-250.5390625
inpaint_telea,Inpainting (Telea),32,5,64x64,0.051552779995836316,0.0056611346810560344,0.049010499962605536,0.04875920002814382,0.06166449992451817,1.611024374869885,1.5282135009765625,0.01953125
inpaint_ns,Inpainting (Navier--Stokes),32,5,64x64,0.037906339997425674,0.0006918478456703584,0.03792020003311336,0.03689480002503842,0.03884890000335872,1.1845731249195524,1.5282135009765625,0.05078125
dictlearn,Dictionary learning,32,5,64x64,0.046598719991743566,0.0011630420704323865,0.04714109993074089,0.04492789995856583,0.04772410006262362,1.4562099997419864,1.5162572860717773,0.01171875
csfr,CSFR (proposed),32,5,64x64,1.4192949999822304,0.10471414297848139,1.4352061999961734,1.2875406999373809,1.567244999925606,44.3529687494447,1.0070438385009766,0.01171875
